elapsed_time,set_no,game_no,p1_sets,p2_sets,p1_games,p2_games,server,point_victor,consecutive_victories,p1_points_won,p2_points_won,game_victor,set_victor,p1_unf_err,p2_unf_err,distance_difference_p2_p1,speed_mph,sum_of_distance_p1,sum_of_distance_p2,EA,EB,K,(Sa-Ea),(Sb-Eb),beta_pA,beta_pB,alpha_PA,alpha_pB,z_pA,z_pB,ω_pA,ω_pB,RA,RB,turnning_point
551,1,2,0,0,1,0,2,2,2,8,7,0,0,0,0,26.725,130,227.753,254.478,132.3775178,97.62248217,16,-0.57594757,0.57594757,0,0,0,1,-1,1,227.753,257.078,35.4490186,16.23218253,0
577,1,2,0,0,1,0,2,1,-1,9,7,0,0,0,0,25.732,97,233.053,258.785,139.5799122,90.42008777,16,0.45014965,-0.45014965,0,0,0,1,0,0,233.053,260.725,22.97772077,22.45110822,0
620,1,2,0,0,1,0,2,2,1,9,8,0,0,0,0,25.986,124,238.298,264.284,130.4554594,99.54454057,16,-0.5702783,0.5702783,0,0,0,1,0,0,238.298,266.764,27.81589359,14.23852194,0
645,1,2,0,0,1,0,2,2,2,9,9,2,0,0,0,27.386,116,253.492,280.878,113.035703,116.964297,32,-0.544367387,0.544367387,0,0,0,1,-1,1,253.492,283.198,15.99592848,20.37246705,0
684,1,3,0,0,1,1,1,1,-1,10,9,0,0,0,0,27.56,126,254.391,281.951,121.1261584,108.8738416,16,0.50565346,-0.50565346,0,0,1,0,0,0,256.911,281.951,-2.74161418,33.04474579,0
707,1,3,0,0,1,1,1,1,-2,11,9,0,0,0,0,44.228,127,272.479,316.707,128.8441553,101.1558447,16,0.482374804,-0.482374804,0,0,1,0,1,-1,275.019,316.707,4.237038728,21.7401198,0
737,1,3,0,0,1,1,1,2,1,11,10,0,0,0,0,47.758,114,279.767,327.525,120.2079546,109.7920454,16,-0.53976254,0.53976254,0,0,1,0,0,0,282.047,327.525,10.37590357,12.11713994,0
764,1,3,0,0,1,1,1,1,-1,12,10,0,0,0,1,38.536,127,321.933,360.469,127.9681913,102.0318087,16,0.485014791,-0.485014791,0,1,1,0,0,0,324.473,360.469,2.19016094,19.42964998,0
806,1,3,0,0,1,1,1,1,-2,13,10,1,0,0,0,39.233,103,325.715,364.948,142.7759905,87.22400948,32,0.462743726,-0.462743726,0,0,1,0,1,-1,327.775,364.948,8.381231192,10.64225915,0
931,1,4,0,0,2,1,2,2,1,13,11,0,0,1,0,40.345,107,338.316,378.661,133.507649,96.49235099,16,-0.579271344,0.579271344,1,0,0,1,0,0,338.316,380.801,20.03398877,-4.957546013,0
975,1,4,0,0,2,1,2,2,2,13,12,0,0,0,0,39.396,111,353.241,392.637,124.6585504,105.3414496,16,-0.553068663,0.553068663,0,0,0,1,-1,1,353.241,394.857,9.847907368,3.173347549,0
1007,1,4,0,0,2,1,2,2,3,13,13,0,0,0,0,39.56,125,354.144,393.704,116.2142155,113.7857845,16,-0.527770933,0.527770933,0,0,0,1,-2,2,354.144,396.204,0.335272664,10.33836977,0
1028,1,4,0,0,2,1,2,2,4,13,14,2,0,0,0,26.935,126,374.171,401.106,100.1023839,129.8976161,32,-0.503494736,0.503494736,0,0,0,1,-3,3,374.171,403.626,-7.647252721,16.63266619,0
1069,1,5,0,0,2,2,1,1,-1,14,14,0,0,0,0,40.949,116,389.523,430.472,108.7867676,121.2132324,16,0.542773979,-0.542773979,0,0,1,0,0,0,391.843,430.472,-22.33561427,28.89569636,0
1105,1,5,0,0,2,2,1,1,-2,15,14,0,0,0,0,44.94,129,393.808,438.748,117.0727756,112.9272244,16,0.517875499,-0.517875499,0,0,1,0,1,-1,396.388,438.748,-12.95176693,17.46973704,0
1130,1,5,0,0,2,2,1,1,-3,16,14,0,0,0,0,45.489,110,405.782,451.271,124.9773252,105.0226748,16,0.494034355,-0.494034355,0,0,1,0,2,-2,407.982,451.271,-4.650856843,7.765616084,0
1160,1,5,0,0,2,2,1,2,1,16,15,0,0,1,0,46.845,113,411.391,458.236,116.518357,113.481643,16,-0.528685516,0.528685516,1,0,1,0,0,0,413.651,458.236,2.670242077,-0.421428445,0
1203,1,5,0,0,2,2,1,2,2,16,16,0,0,0,0,51.067,104,419.909,470.976,108.4484359,121.5515641,16,-0.504370071,0.504370071,0,0,1,0,-1,1,421.989,470.976,-3.676609638,7.926232712,0
1255,1,5,0,0,2,2,1,2,3,16,17,0,0,1,0,53.647,111,428.768,482.415,100.7500036,129.2499964,16,-0.481152018,0.481152018,1,0,1,0,-2,2,430.988,482.415,-9.763568326,15.23318603,0
1287,1,5,0,0,2,2,1,1,-1,17,17,0,0,0,0,48.465,97,459.55,508.015,109.4047722,120.5952278,16,0.54092304,-0.54092304,0,0,1,0,0,0,461.49,508.015,-13.9714723,21.60493022,0
1339,1,5,0,0,2,2,1,1,-2,18,17,1,0,0,0,51.215,114,466.374,517.589,125.9199336,104.0800664,32,0.516098794,-0.516098794,0,0,1,0,1,-1,468.654,517.589,-5.4722853,10.96372582,0
1462,1,6,0,0,3,2,2,2,1,18,18,0,0,0,0,49.516,110,474.183,523.699,117.4177134,112.5822866,16,-0.531388763,0.531388763,0,0,0,1,0,0,474.183,525.899,8.959988661,-6.294302659,0
1493,1,6,0,0,3,2,2,1,-1,19,18,0,0,0,1,50.015,90,503.277,553.292,125.3063808,104.6936192,16,0.493041711,-0.493041711,0,1,0,1,0,0,503.277,555.092,-0.278628365,1.290308268,0
1565,1,6,0,0,3,2,2,2,1,19,19,0,0,0,0,48.389,125,510.092,558.481,116.8323105,113.1676895,16,-0.529629393,0.529629393,0,0,0,1,0,0,510.092,560.981,7.480731406,-4.464478887,0
1590,1,6,0,0,3,2,2,2,2,19,20,0,0,0,0,48.328,127,512.77,561.098,108.7479326,121.2520674,16,-0.505273618,0.505273618,0,0,0,1,-1,1,512.77,563.638,-1.570292046,2.902352901,0
1616,1,6,0,0,3,2,2,2,3,19,21,2,0,0,0,47.952,111,517.813,565.765,93.32352078,136.6764792,32,-0.482012869,0.482012869,0,0,0,1,-2,2,517.813,567.985,-9.153092295,9.393847865,0
1662,1,7,0,0,3,3,1,1,-1,20,21,0,0,0,0,46.396,107,552.046,598.442,102.3166107,127.6833893,16,0.562068123,-0.562068123,0,0,1,0,0,0,554.186,598.442,-23.15983454,21.56427309,0
1717,1,7,0,0,3,3,1,1,-2,21,21,0,0,0,1,55.662,120,561.918,617.58,110.8996667,119.1003333,16,0.536441,-0.536441,0,1,1,0,1,-1,564.318,617.58,-13.49718854,10.62781053,0
1746,1,7,0,0,3,3,1,1,-3,22,21,0,0,0,0,60.428,115,568.195,628.623,119.088459,110.911541,16,0.511799517,-0.511799517,0,0,1,0,2,-2,570.495,628.623,-4.947645104,2.273820832,0
1772,1,7,0,0,3,3,1,2,1,22,22,0,0,0,0,61.016,104,586.271,647.287,110.9002133,119.0997867,16,-0.511765359,0.511765359,0,0,1,0,0,0,588.351,647.287,2.596987808,-5.573027277,0
1817,1,7,0,0,3,3,1,1,-1,23,22,1,0,0,0,54.613,101,617.998,672.611,127.2777475,102.7222525,32,0.511797944,-0.511797944,0,0,1,0,0,0,620.018,672.611,-4.34080301,2.962700706,0
1954,1,8,0,0,4,3,2,2,1,23,23,0,0,0,0,53.587,132,623.877,677.464,118.7132759,111.2867241,16,-0.535279475,0.535279475,0,0,0,1,0,0,623.877,680.104,9.63077447,-13.49306035,0
1977,1,8,0,0,4,3,2,1,-1,24,23,0,0,0,1,53.588,0,624.806,678.394,126.5422993,103.4577007,16,0.48931396,-0.48931396,0,2,0,1,0,0,624.806,678.394,0.314749433,-5.189932183,0
2013,1,8,0,0,4,3,2,2,1,24,24,0,0,0,0,53.01,130,626.233,679.243,118.0115375,111.9884625,16,-0.533172607,0.533172607,0,0,0,1,0,0,626.233,681.843,7.9186499,-9.403737823,0
2038,1,8,0,0,4,3,2,1,-1,25,24,0,0,0,1,53.636,101,644.071,697.707,125.872865,104.127135,16,0.491332966,-0.491332966,0,1,0,1,0,0,644.071,699.727,-1.192489696,-1.537499542,0
2086,1,8,0,0,4,3,2,1,-2,26,24,0,0,0,0,46.211,106,705.852,752.063,133.3728039,96.62719612,16,0.46874618,-0.46874618,0,0,0,1,1,-1,705.852,754.183,6.587644257,-6.944996507,0
2162,1,8,0,0,4,3,2,1,-3,27,24,1,0,0,1,35.655,106,735.529,771.184,147.6868875,82.31311254,32,0.447315112,-0.447315112,0,1,0,1,2,-2,735.529,773.304,13.38664366,-12.15059359,0
2238,1,9,0,0,5,3,1,1,-4,28,24,0,0,0,0,37.039,115,738.87,775.909,154.1991173,75.80088272,16,0.407014364,-0.407014364,0,0,1,0,3,-3,741.17,775.909,26.47315042,-21.66199483,0
2264,1,9,0,0,5,3,1,2,1,28,25,0,0,0,0,39.035,100,744.398,783.433,144.4239581,85.57604188,16,-0.610947448,0.610947448,0,0,1,0,0,0,746.398,783.433,29.53367315,-25.37194032,0
2306,1,9,0,0,5,3,1,1,-1,29,25,0,0,0,0,40.924,122,748.625,789.549,151.0817458,78.91825419,16,0.416111731,-0.416111731,0,0,1,0,0,0,751.065,789.549,18.66913433,-13.36275685,1
2334,1,9,0,0,5,3,1,2,1,29,26,0,0,0,0,40.972,115,760.279,801.251,141.4436093,88.55639072,16,-0.602383533,0.602383533,0,0,1,0,0,0,762.579,801.251,22.18923049,-18.47617025,0
2369,1,9,0,0,5,3,1,1,-1,30,26,0,0,0,0,41.151,129,771.619,812.77,148.2351556,81.76484445,16,0.424471642,-0.424471642,0,0,1,0,0,0,774.199,812.77,12.17620415,-7.296135253,2
2401,1,9,0,0,5,3,1,2,1,30,27,0,0,1,0,39.929,113,780.918,820.847,138.7230243,91.27697569,16,-0.594508203,0.594508203,1,0,1,0,0,0,783.178,820.847,16.44760143,-13.13954535,0
2433,1,9,0,0,5,3,1,1,-1,31,27,0,0,0,0,38.252,114,812.346,850.598,145.6372796,84.36272042,16,0.432140954,-0.432140954,0,0,1,0,0,0,814.626,850.598,8.105210143,-2.622560407,3
2483,1,9,0,0,5,3,1,2,1,31,28,0,0,0,0,39.7,88,828.86,868.56,136.240829,93.75917097,16,-0.587278159,0.587278159,0,0,1,0,0,0,830.62,868.56,12.87181621,-9.041734481,0
2551,1,9,0,0,5,3,1,2,2,31,29,0,0,0,0,41.229,123,850.742,891.971,127.2674985,102.7325015,16,-0.560833161,0.560833161,0,0,1,0,-1,1,853.202,891.971,4.011286432,0.93579931,0
2598,1,9,0,0,5,3,1,1,-1,32,29,0,0,0,0,50.783,121,869.447,920.23,134.7034965,95.29650351,16,0.464749877,-0.464749877,0,0,1,0,0,0,871.867,920.23,-3.413860682,9.698973769,4
2639,1,9,0,0,5,3,1,1,-2,33,29,0,0,0,0,51.814,130,871.556,923.37,141.7999881,88.20001194,16,0.443530723,-0.443530723,0,0,1,0,1,-1,874.156,923.37,2.90864662,1.563970115,5
2669,1,9,0,0,5,3,1,1,-3,34,29,1,1,0,1,54.828,132,888.148,942.976,162.1265298,67.87347024,48,0.423469619,-0.423469619,0,1,1,0,2,-2,890.788,942.976,8.4835705,-5.271121433,6
2824,2,1,1,0,0,0,2,2,1,34,30,0,0,0,0,54.05,123,889.769,943.819,152.0079902,77.99200976,16,-0.63240872,0.63240872,0,0,0,1,0,0,889.769,946.279,24.74989791,-23.81225208,0
2847,2,1,1,0,0,0,2,2,2,34,31,0,0,0,0,54.018,117,890.665,944.683,142.3290321,87.67096795,16,-0.604934887,0.604934887,0,0,0,1,-1,1,890.665,947.023,12.512783,-13.32201916,0
2872,2,1,1,0,0,0,2,2,3,34,32,0,0,0,0,54.217,123,894.284,948.501,133.0807645,96.91923549,16,-0.578016721,0.578016721,0,0,0,1,-2,2,894.284,950.961,2.13985153,-4.017344437,0
2897,2,1,1,0,0,0,2,2,4,34,33,2,0,0,0,51.358,122,903.614,954.972,115.421452,114.578548,32,-0.551853517,0.551853517,0,0,0,1,-3,3,903.614,957.412,-6.5821517,4.207083147,0
2957,2,2,1,0,0,1,1,1,-1,35,33,0,0,0,0,51.546,127,904.441,955.987,123.4020434,106.5979566,16,0.498786966,-0.498786966,0,0,1,0,0,0,906.981,955.987,-22.67616987,18.8566667,0
2978,2,2,1,0,0,1,1,1,-2,36,33,0,0,0,0,52.507,102,907.195,959.702,131.0154164,98.98458355,16,0.475835814,-0.475835814,0,0,1,0,1,-1,909.235,959.702,-14.00048335,9.292436565,0
3014,2,2,1,0,0,1,1,2,1,36,34,0,0,0,0,52.994,111,910.509,963.503,122.2799617,107.7200383,16,-0.54596592,0.54596592,0,0,1,0,0,0,912.729,963.503,-6.317977409,1.208997978,0
3070,2,2,1,0,0,1,1,2,2,36,35,0,0,1,0,57.685,118,945.989,1003.674,113.9449032,116.0550968,16,-0.520941157,0.520941157,1,0,1,0,-1,1,948.349,1003.674,-12.69838398,9.490357715,0
3114,2,2,1,0,0,1,1,1,-1,37,35,0,0,0,0,58.543,126,946.813,1005.356,121.9934916,108.0065084,16,0.503036775,-0.503036775,0,0,1,0,0,0,949.333,1005.356,-17.05684609,16.73123816,0
3141,2,2,1,0,0,1,1,2,1,37,36,0,0,1,0,60.112,97,958.487,1018.599,113.6716033,116.3283967,16,-0.52011802,0.52011802,1,0,1,0,0,0,960.427,1018.599,-8.901987747,7.329857496,0
3186,2,2,1,0,0,1,1,2,2,37,37,0,0,1,0,61.84,105,965.981,1027.821,105.732777,124.267223,16,-0.496176641,0.496176641,1,0,1,0,-1,1,968.081,1027.821,-13.81295893,14.58318841,0
3251,2,2,1,0,0,1,1,2,3,37,38,2,0,0,0,64.195,129,974.216,1038.411,90.58551106,139.4144889,32,-0.473352062,0.473352062,0,0,1,0,-2,2,976.796,1038.411,-17.78620387,20.91786441,0
3296,2,3,1,0,0,2,2,2,4,37,39,0,0,0,0,63.525,126,982.341,1045.866,83.70249534,146.2975047,16,-0.430188482,0.430188482,0,0,0,1,-3,3,982.341,1048.386,-28.08310193,34.00008671,0
3320,2,3,1,0,0,2,2,2,5,37,40,0,0,0,0,64.873,128,992.053,1056.926,77.12840427,152.8715957,16,-0.410880692,0.410880692,0,0,0,1,-4,4,992.053,1059.486,-31.42925679,36.54919111,0
3350,2,3,1,0,0,2,2,2,6,37,41,0,0,0,0,59.162,108,1002.841,1062.003,70.84534132,159.1546587,16,-0.392691434,0.392691434,0,0,0,1,-5,5,1002.841,1064.163,-34.01531137,38.72021869,0
3428,2,3,1,0,0,2,2,2,7,37,42,2,0,1,0,61.364,101,1035.885,1097.249,58.82676311,171.1732369,32,-0.375580569,0.375580569,1,0,0,1,-6,6,1035.885,1099.269,-35.94622538,40.55530747,0
3562,2,4,1,0,0,3,1,2,8,37,43,0,0,0,0,50.457,106,1090.809,1141.266,53.32709201,176.672908,16,-0.343729444,0.343729444,0,0,1,0,-7,7,1092.929,1141.266,-42.69557611,47.12494776,0
3617,2,4,1,0,0,3,1,1,-1,38,43,0,0,0,0,53.617,111,1096.822,1150.439,64.0536364,165.9463636,16,0.670409025,-0.670409025,0,0,1,0,0,0,1099.042,1150.439,-41.94227629,48.52290412,0
3641,2,4,1,0,0,3,1,1,-2,39,43,0,0,0,0,53.795,110,1097.583,1151.378,74.33477648,155.6652235,16,0.642571255,-0.642571255,0,0,1,0,1,-1,1099.783,1151.378,-29.21665437,33.43259068,0
3681,2,4,1,0,0,3,1,2,1,39,44,0,0,0,0,36.827,119,1155.427,1192.254,68.17400649,161.8259935,16,-0.385048125,0.385048125,0,0,1,0,0,0,1157.807,1192.254,-17.88867852,20.50628151,0
3725,2,4,1,0,0,3,1,2,2,39,45,0,0,0,0,39.408,95,1168.404,1207.812,62.2796705,167.7203295,16,-0.368395999,0.368395999,0,0,1,0,-1,1,1170.304,1207.812,-20.98546822,24.32564376,0
3774,2,4,1,0,0,3,1,1,-1,40,45,0,0,0,1,42.305,95,1177.823,1220.128,72.63564199,157.364358,16,0.647248218,-0.647248218,0,1,1,0,0,0,1179.723,1220.128,-23.42681388,27.63714033,0
3830,2,4,1,0,0,3,1,1,-2,41,45,0,0,0,1,46.003,102,1192.129,1238.132,82.54881554,147.4511845,16,0.619573347,-0.619573347,0,1,1,0,1,-1,1194.169,1238.132,-12.88055135,16.09203026,0
3861,2,4,1,0,0,3,1,1,-3,42,45,1,0,0,0,38.211,120,1238.869,1277.08,101.5033924,128.4966076,32,0.592330526,-0.592330526,0,0,1,0,2,-2,1241.269,1277.08,-3.524092163,6.305228023,0
3938,2,5,1,0,1,3,2,2,1,42,46,0,0,0,0,22.189,113,1270.068,1292.257,94.12368657,135.8763134,16,-0.461231613,0.461231613,0,0,0,1,0,0,1270.068,1294.517,12.68594687,-12.37767197,1
3976,2,5,1,0,1,3,2,2,2,42,47,0,0,0,0,18.344,128,1281.341,1299.685,87.08047487,142.9195251,16,-0.440200731,0.440200731,0,0,0,1,-1,1,1281.341,1302.245,4.408691001,-5.327537293,2
4006,2,5,1,0,1,3,2,1,-1,43,47,0,0,0,0,12.012,111,1303.808,1315.82,96.3552594,133.6447406,16,0.579674033,-0.579674033,0,0,0,1,0,0,1303.808,1318.04,-2.560918474,0.907603434,0
4062,2,5,1,0,1,3,2,1,-2,44,47,0,0,0,1,2.64,131,1340.497,1343.137,105.2105997,124.7894003,16,0.553458766,-0.553458766,0,1,0,1,1,-1,1340.497,1345.757,6.491242278,-6.479480059,0
4106,2,5,1,0,1,3,2,1,-3,45,47,0,0,0,1,-4.581,134,1380.326,1375.745,113.6609416,116.3390584,16,0.528146372,-0.528146372,0,1,0,1,2,-2,1380.326,1378.425,14.42517862,-11.67183976,0
4159,2,5,1,0,1,3,2,2,1,45,48,0,0,0,0,-10.417,123,1411.109,1400.692,105.7226063,124.2773937,16,-0.496145956,0.496145956,0,0,0,1,0,0,1411.109,1403.152,21.3484605,-15.87832027,3
4224,2,5,1,0,1,3,2,1,-1,46,48,0,0,0,0,-11.696,107,1451.012,1439.316,114.1494404,115.8505596,16,0.526677128,-0.526677128,0,0,0,1,0,0,1451.012,1441.456,11.71873474,-8.072275431,0
4290,2,5,1,0,1,3,2,2,1,46,49,0,0,0,0,-25.907,118,1477.973,1452.066,106.1886098,123.8113902,16,-0.497551912,0.497551912,0,0,0,1,0,0,1477.973,1454.426,18.48963935,-13.85313066,4
4328,2,5,1,0,1,3,2,2,2,46,50,0,0,0,0,-27.455,131,1484.184,1456.729,98.59404165,131.4059584,16,-0.474660507,0.474660507,0,0,0,1,-1,1,1484.184,1459.349,9.145629304,-6.248142945,5
4357,2,5,1,0,1,3,2,2,3,46,51,2,0,0,0,-31.658,129,1504.813,1473.155,84.1006099,145.8993901,32,-0.452919742,0.452919742,0,0,0,1,-2,2,1504.813,1475.735,1.252228434,0.478218843,6
4488,2,6,1,0,1,4,1,2,4,46,52,0,0,0,0,-23.408,115,1511.18,1487.772,77.50876021,152.4912398,16,-0.411990606,0.411990606,0,0,1,0,-3,3,1513.48,1487.772,-12.61123581,12.48851468,0
4527,2,6,1,0,1,4,1,1,-1,47,52,0,0,0,0,-22.048,109,1515.896,1493.848,87.20898019,142.7910198,16,0.606263749,-0.606263749,0,0,1,0,0,0,1518.076,1493.848,-16.04342905,17.88465333,0
4555,2,6,1,0,1,4,1,2,1,47,53,0,0,1,0,-21.409,91,1521.503,1500.094,80.47799642,149.5220036,16,-0.420686486,0.420686486,1,0,1,0,0,0,1523.323,1500.094,-6.884895477,6.969619508,0
4613,2,6,1,0,1,4,1,1,-1,48,53,0,0,0,0,-19.783,126,1524.079,1504.296,90.04719101,139.952809,16,0.598074662,-0.598074662,0,0,1,0,0,0,1526.599,1504.296,-10.73856828,12.60392016,0
4642,2,6,1,0,1,4,1,1,-2,49,53,0,0,0,0,-12.623,108,1536.431,1523.808,99.18847197,130.811528,16,0.57133006,-0.57133006,0,0,1,0,1,-1,1538.591,1523.808,-2.215787461,2.344194398,0
4668,2,6,1,0,1,4,1,2,1,49,54,0,0,0,0,5.893,97,1565.811,1571.704,91.91461564,138.0853844,16,-0.454616021,0.454616021,0,0,1,0,0,0,1567.751,1571.704,5.321306167,-6.276036748,0
4710,2,6,1,0,1,4,1,1,-1,50,54,0,0,0,0,14.667,127,1573.486,1588.153,100.9715226,129.0284774,16,0.566056685,-0.566056685,0,0,1,0,0,0,1576.026,1588.153,-0.861144143,1.172842995,0
4741,2,6,1,0,1,4,1,1,-2,51,54,1,0,0,0,15.074,121,1574.236,1589.31,118.2607918,111.7392082,32,0.540289662,-0.540289662,0,0,1,0,1,-1,1576.656,1589.31,6.257393843,-7.431928711,0
4797,2,7,1,0,2,4,2,1,-3,52,54,0,0,0,1,10.996,118,1592.09,1603.086,126.1106444,103.8893556,16,0.490615789,-0.490615789,0,1,0,1,2,-2,1592.09,1605.446,19.78834576,-23.24116428,0
4831,2,7,1,0,2,4,2,2,1,52,55,0,0,1,0,7.613,128,1609.467,1617.08,117.5996769,112.4003231,16,-0.531935472,0.531935472,1,0,0,1,0,0,1609.467,1619.64,25.51502201,-25.83830616,0
4866,2,7,1,0,2,4,2,2,2,52,56,0,0,1,0,10.769,132,1623.919,1634.688,109.4799663,120.5200337,16,-0.507481913,0.507481913,1,0,0,1,-1,1,1623.919,1637.328,15.87778358,-16.66065282,0
4901,2,7,1,0,2,4,2,2,3,52,57,0,0,0,0,8.44,125,1637.046,1645.486,101.7340877,128.2659123,16,-0.484117411,0.484117411,0,0,0,1,-2,2,1637.046,1647.986,7.715881407,-8.528345294,0
4935,2,7,1,0,2,4,2,1,-1,53,57,0,0,0,0,-17.1,108,1677.344,1660.244,110.3438207,119.6561793,16,0.538108317,-0.538108317,0,0,0,1,0,0,1677.344,1662.404,0.046171593,-1.337357548,1
4966,2,7,1,0,2,4,2,1,-2,54,57,0,0,0,1,-27.54,98,1727.419,1699.879,118.5581944,111.4418056,16,0.513398353,-0.513398353,0,1,0,1,1,-1,1727.419,1701.839,8.07958254,-7.859386873,2
5038,2,7,1,0,2,4,2,1,-3,55,57,0,0,0,1,-32.373,115,1760.561,1728.188,126.3943564,103.6056436,16,0.489760125,-0.489760125,0,1,0,1,2,-2,1760.561,1730.488,15.10760395,-12.37522953,3
5101,2,7,1,0,2,4,2,2,1,55,58,0,0,0,0,-37.832,120,1771.997,1734.165,117.8703781,112.1296219,16,-0.532748644,0.532748644,0,0,0,1,0,0,1771.997,1736.565,21.23665317,-16.01159194,0
5132,2,7,1,0,2,4,2,2,2,55,59,0,0,0,0,-43.993,130,1804.534,1760.541,109.7382043,120.2617957,16,-0.50826086,0.50826086,0,0,0,1,-1,1,1804.534,1763.141,11.18696036,-7.845985725,0
5177,2,7,1,0,2,4,2,1,-1,56,59,0,0,0,1,-46.708,124,1819.695,1772.987,117.9804449,112.0195551,16,0.515140036,-0.515140036,0,1,0,1,0,0,1819.695,1775.467,2.698538694,-0.62572318,4
5219,2,7,1,0,2,4,2,1,-2,57,59,0,0,0,0,-50.74,113,1845.728,1794.988,125.8432038,104.1567962,16,0.491422432,-0.491422432,0,0,0,1,1,-1,1845.728,1797.248,10.07717485,-6.042858141,5
5308,2,7,1,0,2,4,2,1,-3,58,59,1,0,0,1,-53.881,130,1855.562,1801.681,140.8458028,89.1541972,32,0.468831219,-0.468831219,0,1,0,1,2,-2,1855.562,1804.281,16.53319352,-11.29942128,6
5429,2,8,1,0,3,4,1,1,-4,59,59,0,0,0,0,-52.368,109,1857.95,1805.582,147.6642648,82.33573522,16,0.426153874,-0.426153874,0,0,1,0,3,-3,1860.13,1805.582,29.66630009,-21.10573049,0
5448,2,8,1,0,3,4,1,1,-5,60,59,0,0,0,0,-51.532,91,1861.107,1809.575,154.1775004,75.82249959,16,0.407077227,-0.407077227,0,0,1,0,4,-4,1862.927,1809.575,32.37387647,-24.86968652,0
5481,2,8,1,0,3,4,1,1,-6,61,59,0,0,0,1,-45.292,100,1870.289,1824.997,160.4032877,69.59671225,16,0.389111709,-0.389111709,0,1,1,0,5,-5,1872.289,1824.997,34.70134314,-27.84787267,0
5519,2,8,1,0,3,4,1,1,-7,62,59,1,0,0,0,-42.057,113,1879.635,1837.578,172.3141785,57.68582149,32,0.372215336,-0.372215336,0,0,1,0,6,-6,1881.895,1837.578,36.68711979,-29.49840573,0
5565,2,9,1,0,4,4,2,1,-8,63,59,0,0,0,0,-43.125,130,1888.271,1845.146,177.7665375,52.23346246,16,0.340772439,-0.340772439,0,0,0,1,7,-7,1888.271,1847.746,43.36386273,-37.2286831,0
