match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server1,server,receiver,serve_no,point_victor,consecutive_victories,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,distance_difference_p2_p1,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,486,1,2,13,0,0,1,0,15,15,2,Nicolas Jarry,Carlos Alcaraz,1,1,-2,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31.442,4,120,C,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,521,1,2,14,0,0,1,0,30,15,2,Nicolas Jarry,Carlos Alcaraz,1,2,1,8,6,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.887,3,128,W,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,551,1,2,15,0,0,1,0,30,30,2,Nicolas Jarry,Carlos Alcaraz,1,2,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.725,1,,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,577,1,2,16,0,0,1,0,30,40,2,Nicolas Jarry,Carlos Alcaraz,2,1,-1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.732,2,97,BW,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,620,1,2,17,0,0,1,0,40,40,2,Nicolas Jarry,Carlos Alcaraz,1,2,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.986,1,124,BC,NCTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,645,1,2,18,0,0,1,0,40,50,2,Nicolas Jarry,Carlos Alcaraz,1,2,2,9,9,2,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,27.386,3,116,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,684,1,3,19,0,0,1,1,0,0,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,10,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.56,1,126,C,CTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,707,1,3,20,0,0,1,1,15,0,1,Carlos Alcaraz,Nicolas Jarry,1,1,-2,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.228,5,127,W,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,737,1,3,21,0,0,1,1,30,0,1,Carlos Alcaraz,Nicolas Jarry,1,2,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.758,2,114,BW,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,764,1,3,22,0,0,1,1,30,15,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,12,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38.536,9,127,B,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,806,1,3,23,0,0,1,1,40,15,1,Carlos Alcaraz,Nicolas Jarry,2,1,-2,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.233,1,103,BC,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,931,1,4,24,0,0,2,1,0,0,2,Nicolas Jarry,Carlos Alcaraz,2,2,1,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.345,3,107,BC,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,975,1,4,25,0,0,2,1,0,15,2,Nicolas Jarry,Carlos Alcaraz,1,2,2,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.396,3,111,BW,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1007,1,4,26,0,0,2,1,0,30,2,Nicolas Jarry,Carlos Alcaraz,1,2,3,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.56,1,125,C,NCTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1028,1,4,27,0,0,2,1,0,40,2,Nicolas Jarry,Carlos Alcaraz,1,2,4,13,14,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.935,3,126,W,NCTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1069,1,5,28,0,0,2,2,0,0,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,14,14,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.949,5,116,W,CTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1105,1,5,29,0,0,2,2,15,0,1,Carlos Alcaraz,Nicolas Jarry,1,1,-2,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.94,1,129,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1130,1,5,30,0,0,2,2,30,0,1,Carlos Alcaraz,Nicolas Jarry,1,1,-3,16,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,45.489,3,110,BC,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1160,1,5,31,0,0,2,2,40,0,1,Carlos Alcaraz,Nicolas Jarry,2,2,1,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.845,2,113,BC,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1203,1,5,32,0,0,2,2,40,15,1,Carlos Alcaraz,Nicolas Jarry,2,2,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.067,2,104,BC,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1255,1,5,33,0,0,2,2,40,30,1,Carlos Alcaraz,Nicolas Jarry,1,2,3,16,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53.647,2,111,B,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1287,1,5,34,0,0,2,2,40,40,1,Carlos Alcaraz,Nicolas Jarry,2,1,-1,17,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48.465,5,97,C,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1339,1,5,35,0,0,2,2,50,40,1,Carlos Alcaraz,Nicolas Jarry,1,1,-2,18,17,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,51.215,1,114,C,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1462,1,6,36,0,0,3,2,0,0,2,Nicolas Jarry,Carlos Alcaraz,1,2,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.516,1,110,W,CTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1493,1,6,37,0,0,3,2,0,15,2,Nicolas Jarry,Carlos Alcaraz,2,1,-1,19,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.015,6,90,BW,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1565,1,6,38,0,0,3,2,15,15,2,Nicolas Jarry,Carlos Alcaraz,1,2,1,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.389,1,125,C,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1590,1,6,39,0,0,3,2,15,30,2,Nicolas Jarry,Carlos Alcaraz,1,2,2,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.328,1,127,B,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1616,1,6,40,0,0,3,2,15,40,2,Nicolas Jarry,Carlos Alcaraz,2,2,3,19,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.952,1,111,BW,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1662,1,7,41,0,0,3,3,0,0,1,Carlos Alcaraz,Nicolas Jarry,2,1,-1,20,21,0,0,0,0,1,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.396,9,107,BW,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1717,1,7,42,0,0,3,3,15,0,1,Carlos Alcaraz,Nicolas Jarry,1,1,-2,21,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,55.662,3,120,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1746,1,7,43,0,0,3,3,30,0,1,Carlos Alcaraz,Nicolas Jarry,1,1,-3,22,21,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.428,3,115,W,CTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1772,1,7,44,0,0,3,3,40,0,1,Carlos Alcaraz,Nicolas Jarry,2,2,1,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.016,6,104,BW,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1817,1,7,45,0,0,3,3,40,15,1,Carlos Alcaraz,Nicolas Jarry,2,1,-1,23,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54.613,5,101,B,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1954,1,8,46,0,0,4,3,0,0,2,Nicolas Jarry,Carlos Alcaraz,1,2,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.587,1,132,C,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1977,1,8,47,0,0,4,3,0,15,2,Nicolas Jarry,Carlos Alcaraz,2,1,-1,24,23,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,53.588,0,,W,CTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2013,1,8,48,0,0,4,3,15,15,2,Nicolas Jarry,Carlos Alcaraz,1,2,1,24,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.01,1,130,C,CTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2038,1,8,49,0,0,4,3,15,30,2,Nicolas Jarry,Carlos Alcaraz,2,1,-1,25,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.636,6,101,BW,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2086,1,8,50,0,0,4,3,30,30,2,Nicolas Jarry,Carlos Alcaraz,2,1,-2,26,24,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.211,16,106,B,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2162,1,8,51,0,0,4,3,40,30,2,Nicolas Jarry,Carlos Alcaraz,2,1,-3,27,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,35.655,6,106,B,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2238,1,9,52,0,0,5,3,0,0,1,Carlos Alcaraz,Nicolas Jarry,1,1,-4,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.039,1,115,BW,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2264,1,9,53,0,0,5,3,15,0,1,Carlos Alcaraz,Nicolas Jarry,2,2,1,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.035,2,100,BW,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2306,1,9,54,0,0,5,3,15,15,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.924,1,122,BC,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2334,1,9,55,0,0,5,3,30,15,1,Carlos Alcaraz,Nicolas Jarry,1,2,1,29,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.972,4,115,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2369,1,9,56,0,0,5,3,30,30,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,30,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,41.151,3,129,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2401,1,9,57,0,0,5,3,40,30,1,Carlos Alcaraz,Nicolas Jarry,1,2,1,30,27,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,39.929,2,113,BW,NCTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2433,1,9,58,0,0,5,3,40,40,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38.252,7,114,BW,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2483,1,9,59,0,0,5,3,50,40,1,Carlos Alcaraz,Nicolas Jarry,2,2,1,31,28,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,39.7,4,88,BW,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2551,1,9,60,0,0,5,3,40,40,1,Carlos Alcaraz,Nicolas Jarry,1,2,2,31,29,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,41.229,6,123,BC,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2598,1,9,61,0,0,5,3,40,50,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,32,29,0,0,0,0,1,0,B,0,0,0,0,0,0,0,0,0,1,0,0,0,1,50.783,7,121,BC,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2639,1,9,62,0,0,5,3,40,40,1,Carlos Alcaraz,Nicolas Jarry,1,1,-2,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.814,1,130,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2669,1,9,63,0,0,5,3,50,40,1,Carlos Alcaraz,Nicolas Jarry,1,1,-3,34,29,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,54.828,3,132,BW,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2824,2,1,64,1,0,0,0,0,0,2,Nicolas Jarry,Carlos Alcaraz,1,2,1,34,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.05,1,123,C,NCTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2847,2,1,65,1,0,0,0,0,15,2,Nicolas Jarry,Carlos Alcaraz,1,2,2,34,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.018,1,117,C,NCTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2872,2,1,66,1,0,0,0,0,30,2,Nicolas Jarry,Carlos Alcaraz,1,2,3,34,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,54.217,1,123,B,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2897,2,1,67,1,0,0,0,0,40,2,Nicolas Jarry,Carlos Alcaraz,1,2,4,34,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.358,1,122,C,CTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2957,2,2,68,1,0,0,1,0,0,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,35,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.546,1,127,C,NCTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,2978,2,2,69,1,0,0,1,15,0,1,Carlos Alcaraz,Nicolas Jarry,2,1,-2,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.507,1,102,BW,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3014,2,2,70,1,0,0,1,30,0,1,Carlos Alcaraz,Nicolas Jarry,2,2,1,36,34,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.994,2,111,BW,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3070,2,2,71,1,0,0,1,30,15,1,Carlos Alcaraz,Nicolas Jarry,1,2,2,36,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57.685,12,118,BC,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3114,2,2,72,1,0,0,1,30,30,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,37,35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.543,1,126,C,NCTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3141,2,2,73,1,0,0,1,40,30,1,Carlos Alcaraz,Nicolas Jarry,2,2,1,37,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60.112,2,97,W,CTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3186,2,2,74,1,0,0,1,40,40,1,Carlos Alcaraz,Nicolas Jarry,2,2,2,37,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61.84,2,105,BC,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3251,2,2,75,1,0,0,1,40,50,1,Carlos Alcaraz,Nicolas Jarry,1,2,3,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,64.195,2,129,B,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3296,2,3,76,1,0,0,2,0,0,2,Nicolas Jarry,Carlos Alcaraz,1,2,4,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.525,1,126,C,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3320,2,3,77,1,0,0,2,0,15,2,Nicolas Jarry,Carlos Alcaraz,1,2,5,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.873,1,128,W,CTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3350,2,3,78,1,0,0,2,0,30,2,Nicolas Jarry,Carlos Alcaraz,1,2,6,37,41,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.162,3,108,BW,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3428,2,3,79,1,0,0,2,0,40,2,Nicolas Jarry,Carlos Alcaraz,2,2,7,37,42,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61.364,7,101,W,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3562,2,4,80,1,0,0,3,0,0,1,Carlos Alcaraz,Nicolas Jarry,2,2,8,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.457,10,106,B,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3617,2,4,81,1,0,0,3,0,15,1,Carlos Alcaraz,Nicolas Jarry,1,1,-1,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.617,1,111,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3641,2,4,82,1,0,0,3,15,15,1,Carlos Alcaraz,Nicolas Jarry,1,1,-2,39,43,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.795,1,110,W,CTL,
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3681,2,4,83,1,0,0,3,30,15,1,Carlos Alcaraz,Nicolas Jarry,1,2,1,39,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.827,8,119,C,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3725,2,4,84,1,0,0,3,30,30,1,Carlos Alcaraz,Nicolas Jarry,2,2,2,39,45,0,0,0,0,0,1,B,0,0,0,0,0,1,0,1,0,0,0,0,0,0,39.408,4,95,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3774,2,4,85,1,0,0,3,30,40,1,Carlos Alcaraz,Nicolas Jarry,2,1,-1,40,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,42.305,3,95,B,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3830,2,4,86,1,0,0,3,40,40,1,Carlos Alcaraz,Nicolas Jarry,1,1,-2,41,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46.003,3,102,BW,CTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3861,2,4,87,1,0,0,3,50,40,1,Carlos Alcaraz,Nicolas Jarry,2,1,-3,42,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.211,11,120,B,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3938,2,5,88,1,0,1,3,0,0,2,Nicolas Jarry,Carlos Alcaraz,1,2,1,42,46,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.189,5,113,W,CTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3976,2,5,89,1,0,1,3,0,15,2,Nicolas Jarry,Carlos Alcaraz,1,2,2,42,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18.344,1,128,W,NCTL,D
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,4006,2,5,90,1,0,1,3,0,30,2,Nicolas Jarry,Carlos Alcaraz,2,1,-1,43,47,0,0,0,0,1,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.012,6,111,C,NCTL,ND
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,4062,2,5,91,1,0,1,3,15,30,2,Nicolas Jarry,Carlos Alcaraz,1,1,-2,44,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.64,8,131,BW,NCTL,D
